Date,Open,High,Low,Close,Adj Close,Volume,Return,S_3,S_9,S_18,lag_1,lag_2,lag_3,Rolling_Mean,Rolling_Min,Rolling_Max,EMA_12,EMA_26,MACD,MACD_Signal,RSI
2015-01-29,25.645000457763672,25.75950050354004,25.17399978637696,25.661500930786133,25.632083892822266,79018000,0.0015612245771527,25.780833562215168,26.131166881985134,25.698027928670246,25.62150001525879,26.059499740600582,26.836000442504883,25.780833562215168,25.62150001525879,26.059499740600582,25.94680136525177,25.86709207193043,0.07970929332133991,0.040883747575122115,53.51345344639725
2015-01-30,25.950000762939453,27.155000686645508,25.90900039672852,26.877500534057617,26.846689224243164,121108000,0.0473861449706805,26.053500493367512,26.281666861640083,25.748277982076008,25.661500930786133,25.62150001525879,26.059499740600582,26.053500493367512,25.62150001525879,26.877500534057617,26.089985852760364,25.941937143199112,0.1480487095612517,0.06231673997234803,67.03990026081988
2015-02-02,26.715999603271484,26.825000762939453,26.086000442504883,26.61000061035156,26.579496383666992,75378000,-0.0099525595159823,26.38300069173177,26.405333624945747,25.819277975294327,26.877500534057617,25.661500930786133,25.62150001525879,26.38300069173177,25.661500930786133,26.877500534057617,26.169988123159012,25.991423325951146,0.17856479720786567,0.08556635141945157,66.00765580969875
2015-02-03,26.496999740600582,26.872499465942383,26.340499877929688,26.665000915527344,26.63443374633789,47062000,0.0020669035668638,26.717500686645508,26.47705586751302,25.89747248755561,26.61000061035156,26.877500534057617,25.661500930786133,26.717500686645508,26.61000061035156,26.877500534057617,26.246143937369524,26.04131796221605,0.20482597515347578,0.1094182761662564,64.84169652665537
2015-02-04,26.65699958801269,26.83749961853028,26.25149917602539,26.30500030517578,26.274845123291016,33896000,-0.0135008662288074,26.52666727701823,26.414833704630535,25.950778007507324,26.665000915527344,26.61000061035156,26.877500534057617,26.52666727701823,26.30500030517578,26.665000915527344,26.255198763185874,26.060849987620472,0.19434877556540187,0.1264043760460855,59.23620129047762
2015-02-05,26.396499633789062,26.534500122070312,26.28199958801269,26.491500854492188,26.461132049560547,33176000,0.0070899276621452,26.487167358398438,26.347500483194988,26.031639205084907,26.30500030517578,26.665000915527344,26.61000061035156,26.487167358398438,26.30500030517578,26.665000915527344,26.291552931079153,26.092750051833193,0.19880287924596018,0.14088407668606046,61.63062753453842
2015-02-06,26.550500869750977,27.01099967956543,26.4325008392334,26.694000244140625,26.66339874267578,42938000,0.0076439379845139,26.49683380126953,26.331722683376736,26.133916960822212,26.491500854492188,26.30500030517578,26.665000915527344,26.49683380126953,26.30500030517578,26.694000244140625,26.35346790231938,26.137287103115224,0.21618079920415667,0.15594342118967972,60.78268001693072
2015-02-09,26.55299949645996,26.694000244140625,26.377500534057617,26.464000701904297,26.43366241455078,30314000,-0.008616151199999,26.54983393351237,26.376667234632706,26.210250324673122,26.694000244140625,26.491500854492188,26.30500030517578,26.54983393351237,26.464000701904297,26.694000244140625,26.37047294840937,26.161488110432934,0.20898483797643408,0.16655170454703058,58.58183198204101
2015-02-10,26.607500076293945,27.049999237060547,26.458499908447266,27.007999420166016,26.97703742980957,47430000,0.0205561783492007,26.722000122070312,26.53072272406684,26.305333667331272,26.464000701904297,26.694000244140625,26.491500854492188,26.722000122070312,26.464000701904297,27.007999420166016,26.46855394406424,26.224192651894644,0.24436129216959657,0.1821136220715438,58.73927105571124
2015-02-11,26.98649978637696,27.09749984741211,26.799999237060547,26.89999961853028,26.86916160583496,38306000,-0.0039988079070787,26.790666580200195,26.668333689371746,26.39975028567844,27.007999420166016,26.464000701904297,26.694000244140625,26.790666580200195,26.464000701904297,27.007999420166016,26.5349302016744,26.274252427200988,0.260677774473411,0.19782645255191728,50.35583420724413
