Open,High,Low,Close,Volume,Dividends,Stock Splits,S_3,S_9,S_18,lag_1,lag_2,lag_3,Rolling_Mean,Rolling_Min,Rolling_Max,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Volume_Rolling_Mean,Volume_Change,Overall_Mean,Overall_Min,Overall_Max,Target
2.2827953435446013,2.308193303080802,2.229882877382924,2.283097505569458,913542000,0.0,0.0,2.242883841196696,2.277453343073527,2.362550006972419,2.267676591873169,2.177877426147461,2.18694806098938,2.242883841196696,2.177877426147461,2.283097505569458,2.3014768688431455,2.3014768688431455,0.0,0.0,39.26998295150828,2.3526394605636596,2.612282764548436,2.092996156578883,1144596320.0,-0.346723958760905,49.17777529654063,1.5320426225662231,214.2400054931641,2.2803757190704346
2.266165425238334,2.3118209545155803,2.256791943870348,2.2803757190704346,521186400,0.0,0.0,2.277049938837687,2.2652918497721353,2.3642968866560192,2.283097505569458,2.267676591873169,2.177877426147461,2.277049938837687,2.267676591873169,2.283097505569458,2.298230538108882,2.298230538108882,0.0,0.0,30.709700379342067,2.353652322292328,2.611930411808374,2.0953742327762814,993676320.0,-0.42948829938853383,49.17777529654063,1.5320426225662231,214.2400054931641,2.1799933910369877
2.2707005229372825,2.278561982634322,2.178481370019463,2.1799933910369877,707322000,0.0,0.0,2.2478222052256265,2.2518873744540744,2.357241882218255,2.2803757190704346,2.283097505569458,2.267676591873169,2.2478222052256265,2.1799933910369877,2.283097505569458,2.280040207790129,2.280040207790129,0.0,0.0,25.53191893471235,2.349313461780548,2.616498964651478,2.082127958909618,898863280.0,0.35713825226444906,49.17777529654063,1.5320426225662231,214.2400054931641,2.172433614730835
2.184225801678513,2.200855607067447,2.1479431587566697,2.172433614730835,692123600,0.0,0.0,2.2109342416127524,2.2323347992367215,2.3501868777804904,2.1799933910369877,2.2803757190704346,2.283097505569458,2.2109342416127524,2.172433614730835,2.2803757190704346,2.2634853473194685,2.2634853473194685,0.0,0.0,21.207053815749504,2.3454885482788086,2.620791581893643,2.070185514663974,846515040.0,-0.02148724343368369,49.17777529654063,1.5320426225662231,214.2400054931641,2.0348610877990723
2.1775741594375733,2.192389580081389,2.0179291208218624,2.0348610877990723,1651767600,0.0,0.0,2.129096031188965,2.2029724386003284,2.3274092541800604,2.172433614730835,2.1799933910369877,2.2803757190704346,2.129096031188965,2.0348610877990723,2.1799933910369877,2.2283123843163306,2.2283123843163306,0.0,0.0,18.37997307593163,2.331882429122925,2.6401253648118224,2.0236394934340276,897188320.0,1.3865211358202494,49.17777529654063,1.5320426225662231,214.2400054931641,2.043933153152466
2.064190725242258,2.1007765519922184,2.0161164842455244,2.043933153152466,1388830800,0.0,0.0,2.083742618560791,2.180799616707696,2.3000291321012707,2.0348610877990723,2.172433614730835,2.1799933910369877,2.083742618560791,2.0348610877990723,2.172433614730835,2.1999463487526594,2.1999463487526594,0.0,0.0,20.929499327701464,2.3191079020500185,2.6531146953648164,1.9851011087352206,992246080.0,-0.1591851057013105,49.17777529654063,1.5320426225662231,214.2400054931641,2.080518245697021
2.0708423995857155,2.0886820705466755,1.9955560129344416,2.080518245697021,953114400,0.0,0.0,2.0531041622161865,2.1689740816752114,2.2740264203813343,2.043933153152466,2.0348610877990723,2.172433614730835,2.0531041622161865,2.0348610877990723,2.080518245697021,2.1815727944364074,2.1815727944364074,0.0,0.0,28.113089389636883,2.300890898704529,2.6455912963201396,1.9561905010889182,1078631680.0,-0.3137289293987432,49.17777529654063,1.5320426225662231,214.2400054931641,1.9638080596923828
2.0892858064236965,2.0932167376452315,1.9511089820131584,1.9638080596923828,1149764000,0.0,0.0,2.0294198195139566,2.1451885965135364,2.239356133672926,2.080518245697021,2.043933153152466,2.0348610877990723,2.0294198195139566,1.9638080596923828,2.080518245697021,2.1480705275527114,2.1480705275527114,0.0,0.0,27.059424535805178,2.272242534160614,2.629411525405046,1.915073542916182,1167120080.0,0.2063231863876991,49.17777529654063,1.5320426225662231,214.2400054931641,2.035164356231689
1.9707618810902396,2.046049048490975,1.9018249585281604,2.035164356231689,1760477600,0.0,0.0,2.0264968872070312,2.119353903664483,2.2101282940970526,1.9638080596923828,2.080518245697021,2.043933153152466,2.0264968872070312,1.9638080596923828,2.080518245697021,2.130700347349477,2.130700347349477,0.0,0.0,29.329648490401624,2.246572399139404,2.5937801250823984,1.89936467319641,1380790880.0,0.5311643085015707,49.17777529654063,1.5320426225662231,214.2400054931641,1.9565516710281368
2.014604735041793,2.018233303848983,1.954435325478636,1.9565516710281368,883498000,0.0,0.0,1.9851746956507361,2.0830710331598916,2.1802621881167092,2.035164356231689,1.9638080596923828,2.080518245697021,1.9851746956507361,1.9565516710281368,2.035164356231689,2.1039082433000402,2.1039082433000402,0.0,0.0,28.236706491566068,2.215006321668625,2.5459778264707786,1.884034816866471,1227136960.0,-0.49814868419796987,49.17777529654063,1.5320426225662231,214.2400054931641,2.045142650604248
1.968344228657509,2.059051391778616,1.9653209929619484,2.045142650604248,1160938800,0.0,0.0,2.0122862259546914,2.056934025552538,2.1611129376623364,1.9565516710281368,2.035164356231689,1.9638080596923828,2.0122862259546914,1.9565516710281368,2.045142650604248,2.094867382885303,2.094867382885303,0.0,0.0,37.90566299964994,2.1892001807689665,2.4851248804585344,1.8932754810793984,1181558560.0,0.314025385456447,49.17777529654063,1.5320426225662231,214.2400054931641,2.0929148197174072
